Name(ENG),Name(KOR),Code,Type,Rarity,Recipe,Drop,Stat,Image Name
Pickaxe,곡괭이,PIC,Axe,Common,,"PN 7,BC 7,CM 7,FR 8",AP +15,Pickaxe.png
Hatchet,손도끼,HCH,Axe,Common,,"PN 4,BC 5,FT 4",AP +25,Hatchet.png
Chain Scythe,사슬 낫,CSC,Axe,Uncommon,PIC+STC,,"AP +50,AR +0.2,",Chain Scythe.png
Battle Axe,전투 도끼,BAX,Axe,Uncommon,HCH+BAM,,"AP +47,",Battle Axe.png
Light Hatchet,경량화 도끼,LHA,Axe,Rare,BAX+FEA,,"AP +61,SP +0.1,",Light Hatchet.png
Reaper's Scythe,사신의 낫,RSC,Axe,Rare,CSC+SRO,,"AP +80,AR +0.5,",Reaper_s Scythe.png
Gigantic Axe,대부,GAX,Axe,Rare,BAX+STE,,"AP +110,SP -0.1,",Gigantic Axe.png
Beam Axe,빔 엑스,BEX,Axe,Epic,GAX+LAS,,"AP +137,VR +4,SP -0.1,",Beam Axe.png
Santa Muerte,산타 무에르테,SMU,Axe,Epic,RSC+RBY,,"AP +100,LS +15%,MH +450,AR +0.5,",Santa Muerte.png
Scythe,스퀴테,SCY,Axe,Epic,RSC+GLD,,"AP +130,SA +18%,AR +1,",Scythe.png
Parashu,파라슈,PAR,Axe,Epic,LHA+BSA,,"AP +115,CR +15%,SP +0.2,",Parashu.png
Harpe,하르페,HAR,Axe,Epic,RSC+WFA,,"AP +125,AR +0.5,SP +0.1,SA +55,HS -40%,",Harpe.png
Scissors,가위,SCI,Dagger,Common,,"AL 7,HS 6,SC 6",AP +5,Scissors.png
Fountain Pen,만년필,FPE,Dagger,Common,,"UT 6,AV 7,SC 7",AP +5,Fountain Pen.png
Kitchen Knife,식칼,KKN,Dagger,Common,,"DK 4,HT 4,TP 5","AP +4,SP +0.05",Kitchen Knife.png
Army Knife,군용 나이프,AKN,Dagger,Uncommon,KKN+BRA,,"AP +11,SP +0.08,",Army Knife.png
Rose Knife,장미칼,RKN,Dagger,Rare,AKN+FLO,,"AP +16,SP +0.1,CR +10%,",Rose Knife.png
Carnwennan,카른웬난,CWN,Dagger,Epic,RKN+SRE,,"AP +17,HR +1.5,SP +0.1,EN +29,CR +10%,",Carnwennan.png
Mount Slicer,파산검,MSL,Dagger,Epic,RKN+ASH,,"AP +30,SP +0.1,CR +10%,SA +35",Mount Slicer.png
Vibroblade,초진동나이프,VIB,Dagger,Epic,AKN+MOT,,"AP +42,AS +30%,SP +0.1,",Vibroblade.png
Fragarach,프라가라흐,FRA,Dagger,Legendary,AKN+FCO,,"AP +75,SP +0.2,",Fragarach.png
Rusty Sword,녹슨 검,RSW,Two Handed Sword,Common,,"DK 4,TP 4,CP 4",AP +11,Rusty Sword.png
Shamshir,샴쉬르,SHA,Two Handed Sword,Uncommon,RSW+LIG,,"AP +27,",Shamshir.png
Katana,일본도,KAT,Two Handed Sword,Rare,RSW+ISH,,"AP +35,",Katana.png
Masamune,마사무네,MAS,Two Handed Sword,Rare,KAT+OIL,,"AP +40,AS +15%",Masamune.png
Muramasa,무라마사,MUR,Two Handed Sword,Rare,KAT+GEM,,"AP +50,",Muramasa.png
Bastard Sword,바스타드 소드,BSW,Two Handed Sword,Rare,RSW+STE,,"AP +45,SP -0.1,",Bastard Sword.png
Jewel Sword,보검,JSW,Two Handed Sword,Rare,SHA+RBY,,"AP +35,MH +200",Jewel Sword.png
Thuan Thien,뚜언 띠엔,TTH,Two Handed Sword,Rare,BSW+TTS,,"AP +77,DF +25,SP -0.1,",Thuan Thien.png
Plasma Sword,플라즈마 소드,PSW,Two Handed Sword,Rare,BSW+LAS,,"AP +75,VR +3,",Plasma Sword.png
Arondight,아론다이트,ARO,Two Handed Sword,Epic,MAS+CRS,,"AP +50,EN +25,AS +25%,",Arondight.png
Excalibur,엑스칼리버,EXC,Two Handed Sword,Epic,JSW+HGR,,"AP +60,MH +400,HR +200%,",Excalibur.png
Monohoshizao,모노호시자오,MON,Two Handed Sword,Epic,MUR+BPR,,"AP +70,LS +18%,",Monohoshizao.png
Hovud,호푸어드,HOV,Two Handed Sword,Epic,JSW+GPI,,"AP +45,MH +300,CC +20%,",Hovud.png
Laevateinn,레바테인,LAE,Two Handed Sword,Legendary,TFI+SHA,,"AP +75,HR +1.5,SR +1.5,EN +20,",Laevateinn.png
Dainsleif,다인슬라이프,DAI,Two Handed Sword,Legendary,VBS+KAT,,"AP +70,LS +20%,",Dainsleif.png
Twin Swords,쌍칼,TSW,Dual Swords,Uncommon,KKN+RSW,,"AP +14,AS +10%,",Twin Swords.png
Florentine,피렌체식 쌍검,FRT,Dual Swords,Rare,TSW+BPR,,"AP +23,AS +10%,LS +10%,",Florentine.png
Divine Dual Swords,이천일류,DSW,Dual Swords,Epic,FRT+NAI,,"AP +38,AS +10%,LS +18%,HS -40%,",Divine Dual Swords.png
Starsteel Twin Swords,자웅일대검,SSW,Dual Swords,Epic,TSW+MST,,"AP +55,AS +50%,",Starsteel Twin Swords.png
Dioscuri,디오스쿠로이,DIO,Dual Swords,Epic,TSW+ION,,"AP +38,AS +50%,",Dioscuri.png
Lloigor & Zahr,로이거차르,LZA,Dual Swords,Epic,TSW+POI,,"AP +30,AS +20%,SA +36,",Lloigor _ Zahr.png
Walther PPK,발터 PPK,WPP,Pistol,Common,,"PN 5,BC 4,FT 4","AP +8,SP +0.1",Walther PPK.png
Magnum-Python,매그넘-파이선,MPY,Pistol,Uncommon,WPP+OIL,,"AP +15,AS +10%,SP +0.1,",Magnum-Python.png
Beretta M92F,베레타 M92F,BRM,Pistol,Uncommon,WPP+LEA,,"AP +23,SP +0.1,",Beretta M92F.png
FN57,FN57,FN5,Pistol,Rare,BRM+LAS,,"AP +29,SP +0.1,VR +2.5,",FN57.png
Double Revolver SP,더블 리볼버 SP,DSP,Pistol,Rare,MPY+BRM,,"AP +40,AS +10%,SP +0.1,",Double Revolver SP.png
Magnum-Anaconda,매그넘-아나콘다,MAN,Pistol,Rare,MPY+BPR,,"AP +43,AS +10%,SP +0.1,LS +10%,",Magnum-Anaconda.png
Devil's Marksman,마탄의 사수,DMA,Pistol,Epic,DSP+ASH,,"AP +30,AS +10%,SP +0.1,SA +40,Max Ammo: 7,",Devil_s Marksman.png
Elegance,엘레강스,ELE,Pistol,Epic,FN57+FDU,,"AP +90,VR +5,SP +0.2,Max Ammo: 6,",Elegance.png
Electron Blaster,일렉트론 블라스터,EBL,Pistol,Epic,BRM+ION,,"AP +65,AS +50%,SP +0.1,EN +28,Max Ammo: 10,",Electron Blaster.png
Magnum-Boa,매그넘-보아,MAB,Pistol,Epic,MAN+STE,,"AP +85,AS +25%,SP +0.1,VR +3.5,LS +20%,Max Ammo: 6,",Magnum-Boa.png
Kelte,악켈테,KEL,Pistol,Legendary,FCO+BRM,,"AP +120,SP +0.2,Max Ammo: 10,",Kelte.png
Fedorova,페도로프 자동소총,FED,Assault Rifle,Common,,"HT 4,FT 4",AP +11,Fedorova (1).png
